,i_dc,v_dc,p_dc,p_ac
2020-07-01 00:00:00+02:00,0.0,,0.0,0.0
2020-07-01 01:00:00+02:00,0.0,,0.0,0.0
2020-07-01 02:00:00+02:00,0.0,,0.0,0.0
2020-07-01 03:00:00+02:00,0.0,,0.0,0.0
2020-07-01 04:00:00+02:00,0.0,,0.0,0.0
2020-07-01 05:00:00+02:00,0.0,,0.0,0.0
2020-07-01 06:00:00+02:00,0.0,,0.0,0.0
2020-07-01 07:00:00+02:00,0.018412098298676745,200.0,3.682419659735349,0.0
2020-07-01 08:00:00+02:00,1.739999391243472,601.4001400140014,1046.4358775181013,812.2860122722348
2020-07-01 09:00:00+02:00,7.06060167555217,611.8811881188119,4320.249342070536,4118.270141926873
2020-07-01 10:00:00+02:00,15.05099509950995,601.960196019602,9060.099960391079,8807.702066932885
2020-07-01 11:00:00+02:00,18.360013801380138,595.3995399539954,10931.54377089074,10542.666399066253
2020-07-01 12:00:00+02:00,15.658913345880043,598.4398439843985,9370.917659673669,9083.349484194581
2020-07-01 13:00:00+02:00,18.898697203053633,590.8390839083909,11166.088942514278,10840.815405475278
2020-07-01 14:00:00+02:00,20.820042004200417,587.3987398739874,12229.666437390813,11833.578668158043
2020-07-01 15:00:00+02:00,1.440068691952068,585.5585558555856,843.2445435922951,687.4271928998662
2020-07-01 16:00:00+02:00,4.775364536453645,604.920492049205,2888.7158651058626,2759.7653768315067
2020-07-01 17:00:00+02:00,1.2000019164220088,587.7987798779878,705.359662324104,544.6492118858794
2020-07-01 18:00:00+02:00,4.43999724296754,603.4003400340034,2679.0958461566515,2580.7161431747236
2020-07-01 19:00:00+02:00,0.6599341397554388,560.0360036003601,369.5868782680775,196.87062265716
2020-07-01 20:00:00+02:00,0.36000833305921953,581.958195819582,209.50979998715857,31.024808951444843
2020-07-01 21:00:00+02:00,0.24000787091696185,595.959595959596,143.03499377879544,0.0
2020-07-01 22:00:00+02:00,0.6599353619572486,568.4368436843685,375.1315741866796,183.3179829730273
2020-07-01 23:00:00+02:00,0.0,,0.0,0.0
2020-07-02 00:00:00+02:00,0.0,,0.0,0.0
2020-07-02 01:00:00+02:00,0.0,,0.0,0.0
2020-07-02 02:00:00+02:00,0.0,,0.0,0.0
2020-07-02 03:00:00+02:00,0.0,,0.0,0.0
2020-07-02 04:00:00+02:00,0.0,,0.0,0.0
2020-07-02 05:00:00+02:00,0.0,,0.0,0.0
2020-07-02 06:00:00+02:00,0.0,,0.0,0.0
2020-07-02 07:00:00+02:00,0.48000806638040855,589.95899589959,283.1850768654896,107.35875294723638
2020-07-02 08:00:00+02:00,6.419981767407508,615.8015801580159,3953.434916955195,3739.5400104558435
2020-07-02 09:00:00+02:00,14.63899089908991,603.6403640364036,8836.685795452233,8510.745971050943
2020-07-02 10:00:00+02:00,37.01739273927392,547.6347634763476,20272.011117283342,19640.670966920596
2020-07-02 11:00:00+02:00,52.6849604960496,503.950395039504,26550.606654624855,25711.439853574484
2020-07-02 12:00:00+02:00,49.73685568556856,514.4314431443145,25586.202447787535,24735.563866694967
2020-07-02 13:00:00+02:00,19.620040670733736,587.7987798779878,11532.63596741379,11143.36200615239
2020-07-02 14:00:00+02:00,14.63901690169017,593.2393239323933,8684.440489793555,8357.822322934955
2020-07-02 15:00:00+02:00,10.68000233356669,598.5998599859986,6393.047901523159,6145.1912515502
2020-07-02 16:00:00+02:00,3.959727042471688,591.2391239123913,2341.145547523165,2176.689714898122
2020-07-02 17:00:00+02:00,21.00006200620062,581.3981398139814,12209.396986383306,11822.115839489197
2020-07-02 18:00:00+02:00,11.820001875187518,598.999899989999,7080.179941118924,6825.070344360392
2020-07-02 19:00:00+02:00,3.6600005882941242,598.999899989999,2192.339986351518,2063.347091752863
2020-07-02 20:00:00+02:00,4.378245044016596,598.4398439843985,2620.116281066758,2284.906557807092
2020-07-02 21:00:00+02:00,0.9000015403839233,586.5986598659866,527.9396974665331,360.90141394247235
2020-07-02 22:00:00+02:00,0.0,,0.0,0.0
2020-07-02 23:00:00+02:00,0.0,,0.0,0.0
2020-07-03 00:00:00+02:00,0.0,,0.0,0.0
2020-07-03 01:00:00+02:00,0.0,,0.0,0.0
2020-07-03 02:00:00+02:00,0.0,,0.0,0.0
2020-07-03 03:00:00+02:00,0.0,,0.0,0.0
2020-07-03 04:00:00+02:00,0.0,,0.0,0.0
2020-07-03 05:00:00+02:00,0.0,,0.0,0.0
2020-07-03 06:00:00+02:00,0.0,,0.0,0.0
2020-07-03 07:00:00+02:00,1.1999985568177074,603.8003800380038,724.5595846515879,558.4491204364376
2020-07-03 08:00:00+02:00,1.2598991478095178,583.2383238323832,734.8214671662712,575.1583367249958
2020-07-03 09:00:00+02:00,2.159999275789648,601.4001400140014,1299.023866890036,1159.2270795994207
2020-07-03 10:00:00+02:00,8.699986498649864,609.000900090009,5298.299608448693,5047.544416945261
2020-07-03 11:00:00+02:00,41.58042754275427,542.994299429943,22577.935123575364,21869.72595785184
2020-07-03 12:00:00+02:00,33.72025562556256,557.3957395739574,18795.52682303334,18247.754275612417
2020-07-03 13:00:00+02:00,15.360007500750076,596.999699969997,9169.919869484698,8876.186064882955
2020-07-03 14:00:00+02:00,44.04052955295529,529.3929392939294,23314.745388100167,22617.48650899182
2020-07-03 15:00:00+02:00,43.203477347734776,536.3536353635363,23172.34213580374,22541.99835187576
2020-07-03 16:00:00+02:00,36.06266186618662,556.3556355635563,20063.665162675887,19415.098517385635
2020-07-03 17:00:00+02:00,25.86007800780078,581.7981798179818,15045.346314889515,14584.41991872559
